date,open,high,low,close,tick_volume,spread,real_volume,RSI,EMA
2015-01-19 00:00:00,117.476,117.649,116.958,117.15,13443,7,0,,117.15
2015-01-19 04:00:00,117.154,117.285,116.916,117.1,12170,7,0,,117.14333333333335
2015-01-19 08:00:00,117.1,117.378,117.011,117.218,13313,7,0,,117.15328888888891
2015-01-19 12:00:00,117.221,117.463,117.156,117.452,8156,8,0,,117.19311703703707
2015-01-19 16:00:00,117.454,117.577,117.371,117.515,7144,6,0,,117.23603476543214
2015-01-19 20:00:00,117.51,117.776,117.483,117.54,4048,7,0,,117.27656346337452
2015-01-20 00:00:00,117.568,118.234,117.556,118.095,6629,13,0,,117.38568833492458
2015-01-20 04:00:00,118.103,118.332,118.039,118.292,6001,6,0,,117.50652989026797
2015-01-20 08:00:00,118.287,118.521,117.975,118.276,11022,7,0,,117.60912590489892
2015-01-20 12:00:00,118.275,118.762,118.252,118.495,11071,8,0,,117.7272424509124
2015-01-20 16:00:00,118.497,118.716,118.244,118.692,15695,7,0,,117.85587679079075
2015-01-20 20:00:00,118.691,118.858,118.639,118.792,5923,7,0,,117.98069321868532
2015-01-21 00:00:00,118.793,118.818,118.384,118.432,5626,13,0,,118.04086745619394
2015-01-21 04:00:00,118.433,118.527,117.664,117.838,10090,7,0,62.60997067448641,118.01381846203475
2015-01-21 08:00:00,117.836,117.904,117.302,117.702,11121,6,0,59.636871508379656,117.9722426670968
2015-01-21 12:00:00,117.693,117.859,117.227,117.258,11199,6,0,52.424800491098836,117.87701031148389
2015-01-21 16:00:00,117.261,118.164,117.173,117.999,17596,8,0,60.061839732027686,117.89327560328603
2015-01-21 20:00:00,117.994,118.045,117.736,117.948,5656,8,0,56.70632774472677,117.90057218951456
2015-01-22 00:00:00,117.961,118.15,117.793,118.028,5155,13,0,56.90444145356663,117.91756256424596
2015-01-22 04:00:00,118.028,118.328,117.999,118.189,5345,8,0,58.426382757725065,117.9537542223465
2015-01-22 08:00:00,118.189,118.313,117.646,117.67,9804,7,0,44.429882044561,117.91592032603364
2015-01-22 12:00:00,117.668,118.081,117.445,117.716,13121,8,0,42.13973799126627,117.8892642825625
2015-01-22 16:00:00,117.721,118.152,117.245,118.127,17067,6,0,48.164572554816445,117.92096237822082
2015-01-22 20:00:00,118.13,118.658,118.116,118.465,7294,7,0,49.64097654380085,117.99350072779139
2015-01-23 00:00:00,118.481,118.807,118.344,118.515,6809,13,0,47.804515008682806,118.06303396408586
2015-01-23 04:00:00,118.514,118.702,118.229,118.36,6272,7,0,44.71365638766516,118.10262943554109
2015-01-23 08:00:00,118.359,118.498,118.092,118.43,12120,7,0,49.97365648050586,118.14627884413561
2015-01-23 12:00:00,118.432,118.588,117.751,117.894,13695,8,0,50.74906367041214,118.11264166491753
2015-01-23 16:00:00,117.895,117.944,117.539,117.833,13944,9,0,51.78815178815179,118.0753561095952
2015-01-23 20:00:00,117.834,117.86,117.708,117.733,5141,7,0,57.15576981018391,118.02970862831584
2015-01-26 00:00:00,117.506,117.822,117.257,117.731,7574,13,0,44.80620155038761,117.98988081120707
